stock_id,standard_code,short_code,kor_stock_name,kor_stock_abbr,eng_stock_name,listing_date,market_type,security_type,affiliated_dept,stock_type,listed_shares
29,KR7004830006,004830,덕성보통주,덕성,Duksung,1987/09/25,KOSPI,주권,,보통주,15680000
30,KR7004831004,004835,덕성1우선주,덕성우,Duksung(1P),1989/12/19,KOSPI,주권,,구형우선주,1392000
31,KR7002150001,002150,도화엔지니어링보통주,도화엔지니어링,DOHWA ENGINEERING,2010/08/12,KOSPI,주권,,보통주,33720000
32,KR7099410003,099410,동방선기,동방선기,"Dongbang Ship Machinery Co., Ltd",2009/11/10,KOSDAQ,주권,중견기업부,보통주,14000000
33,KR7025950007,025950,동신건설,동신건설,DongshinEngineering&Construction,1995/08/07,KOSDAQ,주권,우량기업부,보통주,8400000
34,KR7018500009,018500,동원금속보통주,동원금속,DONGWON METAL,1995/11/10,KOSPI,주권,,보통주,46754933
35,KR7109860007,109860,동일금속,동일금속,"DONGIL METAL CO., LTD.",2009/07/28,KOSDAQ,주권,우량기업부,보통주,9100000
36,KR7032960007,032960,동일기연,동일기연,DongilTechnology,1997/07/18,KOSDAQ,주권,중견기업부,보통주,3986323
37,KR7113810006,113810,디젠스,디젠스,"Dgenx Co., Ltd.",2012/11/22,KOSDAQ,주권,중견기업부,보통주,32628051
38,KR7197140007,197140,디지캡,디지캡,DigiCAP,2018/09/07,KOSDAQ,주권,벤처기업부,보통주,13013154
39,KR7187220009,187220,디티앤씨,디티앤씨,Dt&C,2014/12/17,KOSDAQ,주권,중견기업부,보통주,11698021
40,KR7383930005,383930,디티앤씨알오,디티앤씨알오,"DT&CRO CO., Ltd.",2022/11/11,KOSDAQ,주권,중견기업부,보통주,12770512
41,KR7300120003,300120,라온피플,라온피플,LaonPeople Inc.,2019/10/18,KOSDAQ,주권,벤처기업부,보통주,20860012
42,KR7073570004,073570,리튬포어스,리튬포어스,Lithium-for-earth,2004/01/06,KOSDAQ,주권,중견기업부,보통주,36189497
43,KR7042500009,042500,링네트,링네트,"RingNet Co., Ltd.",2002/01/10,KOSDAQ,주권,우량기업부,보통주,19070134
44,KR7038290003,038290,마크로젠,마크로젠,"Macrogen, Inc.",2000/02/22,KOSDAQ,주권,중견기업부,보통주,10841400
45,KR7059210005,059210,메타바이오메드,메타바이오메드,"META BIOMED.CO.,LTD",2008/04/15,KOSDAQ,주권,우량기업부,보통주,23862351
46,KR7118000009,118000,메타케어보통주,메타케어,METACARE,2009/12/30,KOSPI,주권,,보통주,164777364
47,KR7417970001,417970,모델솔루션,모델솔루션,"Model Solution Co., Ltd.",2022/10/07,KOSDAQ,주권,중견기업부,보통주,6396700
48,KR7214610008,214610,미코바이오메드,미코바이오메드,"MiCo BioMed Co., Ltd.",2020/10/22,KOSDAQ,주권,기술성장기업부,보통주,51505648
49,KR7331520007,331520,밸로프,밸로프,VALOFE,2019/10/29,KOSDAQ,주권,중견기업부,보통주,50864390
50,KR7199480005,199480,뱅크웨어글로벌,뱅크웨어글로벌,"Bankware Global Co., Ltd.",2024/08/12,KOSDAQ,주권,기술성장기업부,보통주,10101638
51,KR7002410009,002410,범양건영보통주,범양건영,BUMYANG CONSTRUCTION,1988/05/25,KOSPI,주권,,보통주,27479820
52,KR7007210008,007210,벽산보통주,벽산,Byuksan,1972/01/04,KOSPI,주권,,보통주,67560000
53,KR7225530005,225530,보광산업,보광산업,"BoKwang Industry Co.,Ltd",2015/12/17,KOSDAQ,주권,우량기업부,보통주,36338727
54,KR7250000007,250000,보라티알,보라티알,"BORATR CO., Ltd.",2017/06/08,KOSDAQ,주권,우량기업부,보통주,6750733
55,KR7000890004,000890,보해양조보통주,보해양조,BohaeBrewery,1988/09/23,KOSPI,주권,,보통주,139120129
56,KR7014470009,014470,부방,부방,"Bubang Co., Ltd.",1994/02/25,KOSDAQ,주권,중견기업부,보통주,60052260
57,KR7064480007,064480,브리지텍,브리지텍,BRIDGETEC Corp.,2008/06/04,KOSDAQ,주권,벤처기업부,보통주,11952500
58,KR7002070001,002070,비비안보통주,비비안,VIVIEN CORPORATION,1976/07/13,KOSPI,주권,,보통주,29793990
59,KR7413640004,413640,비아이매트릭스,비아이매트릭스,"BI MATRIX Co., Ltd.",2023/11/09,KOSDAQ,주권,벤처기업부,보통주,7206940
60,KR7050090000,050090,비케이홀딩스,비케이홀딩스,BK Holdings,2004/06/29,KOSDAQ,주권,중견기업부,보통주,19784735
61,KR7032850000,032850,비트컴퓨터,비트컴퓨터,BITComputer,1997/07/04,KOSDAQ,주권,벤처기업부,보통주,16623293
62,KR7069540003,069540,빛과전자,빛과전자,LIGHTRON FIBER-OPTIC DEVICES,2004/02/13,KOSDAQ,주권,벤처기업부,보통주,46037579
63,KR7018310003,018310,삼목에스폼,삼목에스폼,"SAMMOK S-FORM CO.,LTD.",1996/05/03,KOSDAQ,주권,우량기업부,보통주,14700000
64,KR7053700001,053700,삼보모터스,삼보모터스,"SAMBO MOTORS CO., LTD.",2001/11/06,KOSDAQ,주권,우량기업부,보통주,22877190
65,KR7009620006,009620,삼보산업,삼보산업,"SAMBO Industrial Co., Ltd.",1993/12/07,KOSDAQ,주권,중견기업부,보통주,16386091
66,KR7003720000,003720,삼영보통주,삼영,SAMYOUNG,1976/06/30,KOSPI,주권,,보통주,34000000
67,KR7002450005,002450,삼익악기보통주,삼익악기,SamickMusicalInstruments,1988/09/30,KOSPI,주권,,보통주,90530915
68,KR7032280000,032280,삼일,삼일,SamIl,1997/03/15,KOSDAQ,주권,중견기업부,보통주,16213590
69,KR7002290005,002290,삼일기업공사,삼일기업공사,"SAMIL ENTERPRISE CO., LTD.",1992/11/30,KOSDAQ,주권,중견기업부,보통주,12400000
70,KR7024950008,024950,삼천리자전거,삼천리자전거,"SAMCHULY BICYCLE CO., LTD",1995/01/04,KOSDAQ,주권,중견기업부,보통주,13273577
71,KR7042940007,042940,상지건설,상지건설,"Sangji Construction, Inc.",2000/10/19,KOSDAQ,주권,중견기업부,보통주,3981814
